基金代码,基金链接,基金名称,日期,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
005668,http://fund.eastmoney.com/005668.html,融通新能源汽车主题精选混合A,03-16,0.87%,1.26%,-18.90%,-2.62%,19.56%,85.40%,135.19%,---,-10.78%,132.32%
501065,http://fund.eastmoney.com/501065.html,汇添富经典成长定开混合,03-16,1.89%,4.56%,-17.66%,4.75%,7.98%,87.32%,134.83%,---,1.23%,160.73%
005176,http://fund.eastmoney.com/005176.html,富国精准医疗混合,03-16,1.18%,3.15%,-25.58%,-4.85%,3.26%,49.24%,134.66%,172.15%,-9.69%,197.43%
519642,http://fund.eastmoney.com/519642.html,银河智造混合,03-16,0.67%,1.74%,-21.09%,-2.09%,8.92%,58.60%,134.65%,115.54%,-10.38%,185.80%
005840,http://fund.eastmoney.com/005840.html,富国产业驱动混合,03-16,0.96%,3.09%,-15.63%,5.72%,14.03%,66.67%,134.46%,---,-2.09%,170.89%
001857,http://fund.eastmoney.com/001857.html,易方达现代服务业混合,03-16,1.35%,3.74%,-17.96%,5.00%,22.31%,95.14%,134.17%,120.18%,-4.18%,124.80%
570001,http://fund.eastmoney.com/570001.html,诺德价值优势混合,03-16,0.96%,1.39%,-23.95%,-0.35%,16.87%,115.56%,134.14%,106.35%,-7.90%,292.03%
213001,http://fund.eastmoney.com/213001.html,宝盈鸿利收益灵活配置混合A,03-16,-0.09%,0.48%,-19.66%,-5.17%,9.09%,47.11%,133.90%,155.84%,-10.47%,1147.88%
000940,http://fund.eastmoney.com/000940.html,富国中小盘精选混合,03-16,0.59%,0.69%,-11.35%,1.15%,13.48%,60.71%,133.90%,118.13%,-0.55%,191.20%
166301,http://fund.eastmoney.com/166301.html,华商新趋势优选灵活配置混合,03-16,-0.15%,2.63%,-2.67%,13.04%,34.32%,64.38%,133.42%,160.10%,3.59%,555.20%
005241,http://fund.eastmoney.com/005241.html,中欧时代智慧混合A,03-16,1.92%,3.65%,-18.92%,11.99%,30.97%,99.09%,133.16%,151.23%,1.18%,150.88%
370027,http://fund.eastmoney.com/370027.html,上投摩根智选30混合,03-16,0.91%,1.87%,-20.68%,2.36%,13.99%,85.91%,133.05%,96.38%,-6.78%,300.61%
040035,http://fund.eastmoney.com/040035.html,华安逆向策略混合,03-16,0.26%,1.47%,-12.47%,8.50%,15.50%,71.74%,132.95%,127.02%,-1.43%,760.18%
166011,http://fund.eastmoney.com/166011.html,中欧盛世成长混合(LOF)A,03-16,1.23%,3.82%,-12.74%,4.62%,18.63%,80.68%,132.85%,109.39%,-1.72%,601.67%
161616,http://fund.eastmoney.com/161616.html,融通医疗保健行业混合A/B,03-16,0.91%,2.48%,-23.63%,-1.38%,6.60%,70.55%,132.81%,156.49%,-5.09%,266.32%
